#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2021-02-09 00:10:18
#  ~ Dataframe name: "http_access_log"
#  ~ Number of events in the dataframe: 3554
#  ~ Number of unique labels ('label_event_type') in the dataframe: 12
#  ~ Selected features set for the clustering: ['HTTP_method', 'ClientRequestLine@', 'StatusCode', 'ObjectSize~', 'Referrer~', 'Agent@']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.10286568826994683  MinPts=2 (The EPS parameter was calculated in 0.011141 seconds)
#  ~ The DBSCAN clustering process was performed in 0.162435 seconds
#  ~ Results summary: (20 Clus. | 5 Outl. | Homg.: 99.93% | Comp.: 93.22% | V-measure: 96.46% | AR: 97.24% | AMI: 96.41%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 484 items. MV:["A050"]. Details:{'A05': 484}
#       Cluster [1] contains 979 items. MV:["A011"]. Details:{'A01': 979}
#       Cluster [2] contains 109 items. MV:["A022"]. Details:{'A02': 109}
#       Cluster [3] contains 86 items. MV:["A053"]. Details:{'A05': 86}
#       Cluster [4] contains 587 items. MV:["A034"]. Details:{'A03': 587}
#       Cluster [5] contains 23 items. MV:["A045"]. Details:{'A04': 23}
#       Cluster [6] contains 14 items. MV:["A046"]. Details:{'A04': 14}
#       Cluster [7] contains 3 items. MV:["A037"]. Details:{'A03': 3}
#       Cluster [8] contains 46 items. MV:["A098"]. Details:{'A09': 46}
#       Cluster [9] contains 100 items. MV:["A089"]. Details:{'A08': 100}
#       Cluster [10] contains 125 items. MV:["A0610"]. Details:{'A06': 125}
#       Cluster [11] contains 16 items. MV:["A0411"]. Details:{'A04': 16}
#       Cluster [12] contains 32 items. MV:["A0812"]. Details:{'A08': 32}
#       Cluster [13] contains 769 items. MV:["A1013"]. Details:{'A10': 769}
#       Cluster [14] contains 14 items. MV:["A1114"]. Details:{'A11': 14}
#       Cluster [15] contains 54 items. MV:["A1115"]. Details:{'A05': 1, 'A11': 53}
#       Cluster [16] contains 5 items. MV:["A0416"]. Details:{'A04': 5}
#       Cluster [17] contains 57 items. MV:["A1217"]. Details:{'A12': 57}
#       Cluster [18] contains 23 items. MV:["A0718"]. Details:{'A07': 23}
#       Cluster [19] contains 23 items. MV:["A1119"]. Details:{'A11': 23}
#
#  ~ Details of outliers: {'A03': 1, 'A04': 1, 'A05': 3}
#
#  ~ Confusion matrix:
#     +--------+-----------------------------------------------------------------------------------+
#     | Actual +                                    Predicted                                      |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#     |        | A01  | A02  | A03  | A04  | A05  | A06  | A07  | A08  | A09  | A10  | A11  | A12  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#     |  A01   | 979  |      |      |      |      |      |      |      |      |      |      |      |
#     |  A02   |      | 109  |      |      |      |      |      |      |      |      |      |      |
#     |  A03   |      |      | 590  |      |      |      |      |      |      |      |      |      |
#     |  A04   |      |      |      |  58  |      |      |      |      |      |      |      |      |
#     |  A05   |      |      |      |      | 570  |      |      |      |      |      |  1   |      |
#     |  A06   |      |      |      |      |      | 125  |      |      |      |      |      |      |
#     |  A07   |      |      |      |      |      |      |  23  |      |      |      |      |      |
#     |  A08   |      |      |      |      |      |      |      | 132  |      |      |      |      |
#     |  A09   |      |      |      |      |      |      |      |      |  46  |      |      |      |
#     |  A10   |      |      |      |      |      |      |      |      |      | 769  |      |      |
#     |  A11   |      |      |      |      |      |      |      |      |      |      |  90  |      |
#     |  A12   |      |      |      |      |      |      |      |      |      |      |      |  57  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Referrer~,ClientRequestLine@,Agent@,ObjectSize~,Http_protocol@,HTTP_method,ClientIP$,StatusCode,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107076919,"-","/","Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)",2898,"HTTP/1.1","GET",9218022022040,"'403'","A05","S198","A_0"
1107078995,"-","/scripts/root.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107078996,"-","/MSADC/root.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107078997,"-","/c/winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107078997,"-","/d/winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107078998,"-","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107078998,"-","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107078999,"-","/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107078999,"-","/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107079000,"-","/scripts/..%c1%1c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107079000,"-","/scripts/..%c0%2f../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107079001,"-","/scripts/..%c0%af../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107079001,"-","/scripts/..%c1%9c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107079002,"-","/scripts/..%%35%63../winnt/system32/cmd.exe?/c+dir","-",974,"HTTP/1.0","GET",9211059000204,"'400'","A02","S154","A_2"
1107079003,"-","/scripts/..%%35c../winnt/system32/cmd.exe?/c+dir","-",974,"HTTP/1.0","GET",9211059000204,"'400'","A02","S154","A_2"
1107079003,"-","/scripts/..%25%35%63../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107079004,"-","/scripts/..%252f../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9211059000204,"'404'","A01","S154","A_1"
1107092005,"-","/NULL.printer","-",1061,"-","GET",9061088122010,"'404'","A01","S417","A_1"
1107101364,"-","/","Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)",2898,"HTTP/1.1","GET",9024199102163,"'403'","A05","S335","A_0"
1107112416,"-","/scripts/root.exe?/c+dir","-",1041,"HTTP/1.0","GET",9069233130234,"'404'","A01","S544","A_1"
1107112417,"-","/MSADC/root.exe?/c+dir","-",1041,"HTTP/1.0","GET",9069233130234,"'404'","A01","S544","A_1"
1107112420,"-","/c/winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9069233130234,"'404'","A01","S544","A_1"
1107112421,"-","/d/winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9069233130234,"'404'","A01","S544","A_1"
1107112421,"-","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9069233130234,"'404'","A01","S544","A_1"
1107112422,"-","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","-",1041,"HTTP/1.0","GET",9069233130234,"'404'","A01","S544","A_1"
