#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2021-02-09 00:10:18
#  ~ Dataframe name: "syslog_secure"
#  ~ Number of events in the dataframe: 1587
#  ~ Number of unique labels ('label_event_type') in the dataframe: 6
#  ~ Selected features set for the clustering: ['Logging_Daemon', 'Operation']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.7071067811865476  MinPts=2 (The EPS parameter was calculated in 0.006625 seconds)
#  ~ The DBSCAN clustering process was performed in 0.033909 seconds
#  ~ Results summary: (6 Clus. | 12 Outl. | Homg.: 100.00% | Comp.: 100.00% | V-measure: 100.00% | AR: 100.00% | AMI: 100.00%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 145 items. MV:["E010"]. Details:{'E01': 145}
#       Cluster [1] contains 366 items. MV:["E041"]. Details:{'E04': 366}
#       Cluster [2] contains 352 items. MV:["E022"]. Details:{'E02': 352}
#       Cluster [3] contains 702 items. MV:["E033"]. Details:{'E03': 702}
#       Cluster [4] contains 8 items. MV:["E054"]. Details:{'E05': 8}
#       Cluster [5] contains 2 items. MV:["E065"]. Details:{'E06': 2}
#
#  ~ Details of outliers: {'E04': 2, 'E06': 10}
#
#  ~ Confusion matrix:
#     +--------+-----------------------------------------+
#     | Actual +               Predicted                 |
#     +--------+------+------+------+------+------+------+
#     |        | E01  | E02  | E03  | E04  | E05  | E06  |
#     +--------+------+------+------+------+------+------+
#     |  E01   | 145  |      |      |      |      |      |
#     |  E02   |      | 352  |      |      |      |      |
#     |  E03   |      |      | 702  |      |      |      |
#     |  E04   |      |      |      | 366  |      |      |
#     |  E05   |      |      |      |      |  8   |      |
#     |  E06   |      |      |      |      |      |  2   |
#     +--------+------+------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Logging_device~,User,Port~,Logging_Daemon,Source$,PID~,Operation,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107169431,"combo","test",37626,"sshd",9063203221245,28945,"Accepted password","E01","S431","E_0"
1107197415,"combo","-",0,"sshd",9211233014063,29657,"Did not receive identification string","E04","S153","E_1"
1107197415,"combo","-",0,"sshd",9211233014063,29658,"Did not receive identification string","E04","S153","E_1"
1107197415,"combo","-",0,"sshd",9211233014063,29659,"Did not receive identification string","E04","S153","E_1"
1107197415,"combo","-",0,"sshd",9211233014063,29660,"Did not receive identification string","E04","S153","E_1"
1107197415,"combo","-",0,"sshd",9211233014063,29661,"Did not receive identification string","E04","S153","E_1"
1107197415,"combo","-",0,"sshd",9211233014063,29663,"Did not receive identification string","E04","S153","E_1"
1107197415,"combo","-",0,"sshd",9211233014063,29664,"Did not receive identification string","E04","S153","E_1"
1107197415,"combo","-",0,"sshd",9211233014063,29665,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29666,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29667,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29668,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29669,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29670,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29662,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29671,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29672,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29673,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29674,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29675,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29676,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29677,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29678,"Did not receive identification string","E04","S153","E_1"
1107197416,"combo","-",0,"sshd",9211233014063,29679,"Did not receive identification string","E04","S153","E_1"
1107198131,"combo","jordan",0,"sshd",9211233014063,29695,"Illegal user","E02","S153","E_2"
1107198133,"combo","jordan",0,"sshd",9211233014063,29697,"Illegal user","E02","S153","E_2"
1107198133,"combo","jordan",0,"sshd",9211233014063,29698,"Illegal user","E02","S153","E_2"
1107198133,"combo","jordan",0,"sshd",9211233014063,29700,"Illegal user","E02","S153","E_2"
1107198133,"combo","michael",0,"sshd",9211233014063,29703,"Illegal user","E02","S153","E_2"
1107198135,"combo","michael",0,"sshd",9211233014063,29705,"Illegal user","E02","S153","E_2"
1107198135,"combo","michael",0,"sshd",9211233014063,29706,"Illegal user","E02","S153","E_2"
1107198135,"combo","michael",0,"sshd",9211233014063,29709,"Illegal user","E02","S153","E_2"
1107198135,"combo","nicole",0,"sshd",9211233014063,29710,"Illegal user","E02","S153","E_2"
1107198137,"combo","jordan",0,"sshd",9211233014063,29713,"Illegal user","E02","S153","E_2"
1107200622,"combo","jordan",0,"sshd",9210099250240,29761,"Illegal user","E02","S135","E_2"
1107200623,"combo","jordan",0,"sshd",9210099250240,29763,"Illegal user","E02","S135","E_2"
1107200624,"combo","jordan",0,"sshd",9210099250240,29765,"Illegal user","E02","S135","E_2"
1107200625,"combo","michael",0,"sshd",9210099250240,29767,"Illegal user","E02","S135","E_2"
1107200626,"combo","michael",0,"sshd",9210099250240,29769,"Illegal user","E02","S135","E_2"
1107200627,"combo","michael",0,"sshd",9210099250240,29771,"Illegal user","E02","S135","E_2"
1107200627,"combo","jordan",0,"sshd",9210099250240,29773,"Illegal user","E02","S135","E_2"
1107200628,"combo","nicole",0,"sshd",9210099250240,29774,"Illegal user","E02","S135","E_2"
1107200628,"combo","nicole",0,"sshd",9210099250240,29777,"Illegal user","E02","S135","E_2"
1107200629,"combo","jordan",0,"sshd",9210099250240,29779,"Illegal user","E02","S135","E_2"
1107201341,"combo","root",34497,"sshd",9070084072068,29805,"Failed password","E03","S563","E_3"
1107201341,"combo","root",34549,"sshd",9070084072068,29807,"Failed password","E03","S563","E_3"
1107201341,"combo","root",34557,"sshd",9070084072068,29808,"Failed password","E03","S563","E_3"
1107201342,"combo","root",35925,"sshd",9070084072068,29817,"Failed password","E03","S563","E_3"
1107201342,"combo","root",35923,"sshd",9070084072068,29815,"Failed password","E03","S563","E_3"
1107201342,"combo","root",35929,"sshd",9070084072068,29818,"Failed password","E03","S563","E_3"
1107201343,"combo","root",34567,"sshd",9070084072068,29809,"Failed password","E03","S563","E_3"
1107201343,"combo","root",35126,"sshd",9070084072068,29813,"Failed password","E03","S563","E_3"
1107201343,"combo","root",35924,"sshd",9070084072068,29816,"Failed password","E03","S563","E_3"
1107201343,"combo","root",35933,"sshd",9070084072068,29819,"Failed password","E03","S563","E_3"
1107201550,"combo","jordan",0,"sshd",9210099250240,29832,"Illegal user","E02","S135","E_2"
1107201551,"combo","jordan",0,"sshd",9210099250240,29834,"Illegal user","E02","S135","E_2"
1107201552,"combo","jordan",0,"sshd",9210099250240,29836,"Illegal user","E02","S135","E_2"
1107201553,"combo","michael",0,"sshd",9210099250240,29838,"Illegal user","E02","S135","E_2"
1107201554,"combo","michael",0,"sshd",9210099250240,29840,"Illegal user","E02","S135","E_2"
1107201554,"combo","michael",0,"sshd",9210099250240,29841,"Illegal user","E02","S135","E_2"
1107201555,"combo","nicole",0,"sshd",9210099250240,29844,"Illegal user","E02","S135","E_2"
1107201556,"combo","nicole",0,"sshd",9210099250240,29846,"Illegal user","E02","S135","E_2"
1107201557,"combo","nicole",0,"sshd",9210099250240,29847,"Illegal user","E02","S135","E_2"
1107201558,"combo","daniel",0,"sshd",9210099250240,29850,"Illegal user","E02","S135","E_2"
1107201560,"combo","andrew",0,"sshd",9210099250240,29852,"Illegal user","E02","S135","E_2"
1107201562,"combo","jordan",0,"sshd",9210099250240,29854,"Illegal user","E02","S135","E_2"
1107201562,"combo","jordan",0,"sshd",9210099250240,29856,"Illegal user","E02","S135","E_2"
1107201564,"combo","jordan",0,"sshd",9210099250240,29858,"Illegal user","E02","S135","E_2"
1107201564,"combo","michael",0,"sshd",9210099250240,29860,"Illegal user","E02","S135","E_2"
1107201565,"combo","jordan",0,"sshd",9210099250240,29861,"Illegal user","E02","S135","E_2"
1107201565,"combo","jordan",0,"sshd",9210099250240,29864,"Illegal user","E02","S135","E_2"
1107201567,"combo","nicole",0,"sshd",9210099250240,29866,"Illegal user","E02","S135","E_2"
1107201567,"combo","jordan",0,"sshd",9210099250240,29867,"Illegal user","E02","S135","E_2"
1107201568,"combo","michael",0,"sshd",9210099250240,29870,"Illegal user","E02","S135","E_2"
1107212180,"combo","-",0,"sshd",9211141089073,30133,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30131,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30132,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30134,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30135,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30139,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30137,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30136,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30138,"Did not receive identification string","E04","S138","E_1"
1107212180,"combo","-",0,"sshd",9211141089073,30140,"Did not receive identification string","E04","S138","E_1"
1107212964,"combo","jordan",0,"sshd",9211141089073,30159,"Illegal user","E02","S138","E_2"
1107212964,"combo","jordan",0,"sshd",9211141089073,30160,"Illegal user","E02","S138","E_2"
1107212966,"combo","michael",0,"sshd",9211141089073,30163,"Illegal user","E02","S138","E_2"
1107212966,"combo","michael",0,"sshd",9211141089073,30164,"Illegal user","E02","S138","E_2"
1107212969,"combo","nicole",0,"sshd",9211141089073,30167,"Illegal user","E02","S138","E_2"
1107212969,"combo","nicole",0,"sshd",9211141089073,30168,"Illegal user","E02","S138","E_2"
1107212972,"combo","daniel",0,"sshd",9211141089073,30171,"Illegal user","E02","S138","E_2"
1107212972,"combo","daniel",0,"sshd",9211141089073,30172,"Illegal user","E02","S138","E_2"
1107212975,"combo","andrew",0,"sshd",9211141089073,30175,"Illegal user","E02","S138","E_2"
1107212975,"combo","andrew",0,"sshd",9211141089073,30176,"Illegal user","E02","S138","E_2"
1107212978,"combo","magic",0,"sshd",9211141089073,30179,"Illegal user","E02","S138","E_2"
1107212978,"combo","magic",0,"sshd",9211141089073,30180,"Illegal user","E02","S138","E_2"
1107212980,"combo","lion",0,"sshd",9211141089073,30183,"Illegal user","E02","S138","E_2"
1107212980,"combo","lion",0,"sshd",9211141089073,30184,"Illegal user","E02","S138","E_2"
1107212983,"combo","david",0,"sshd",9211141089073,30187,"Illegal user","E02","S138","E_2"
1107212983,"combo","david",0,"sshd",9211141089073,30188,"Illegal user","E02","S138","E_2"
1107212985,"combo","jordan",0,"sshd",9211141089073,30191,"Illegal user","E02","S138","E_2"
1107212986,"combo","jason",0,"sshd",9211141089073,30194,"Illegal user","E02","S138","E_2"
1107212986,"combo","jason",0,"sshd",9211141089073,30193,"Illegal user","E02","S138","E_2"
1107212988,"combo","michael",0,"sshd",9211141089073,30197,"Illegal user","E02","S138","E_2"
1107212989,"combo","carmen",0,"sshd",9211141089073,30199,"Illegal user","E02","S138","E_2"
1107212989,"combo","carmen",0,"sshd",9211141089073,30200,"Illegal user","E02","S138","E_2"
1107212991,"combo","nicole",0,"sshd",9211141089073,30203,"Illegal user","E02","S138","E_2"
1107212992,"combo","justin",0,"sshd",9211141089073,30205,"Illegal user","E02","S138","E_2"
1107212994,"combo","daniel",0,"sshd",9211141089073,30207,"Illegal user","E02","S138","E_2"
1107212995,"combo","charlie",0,"sshd",9211141089073,30209,"Illegal user","E02","S138","E_2"
1107212997,"combo","andrew",0,"sshd",9211141089073,30211,"Illegal user","E02","S138","E_2"
1107212998,"combo","steven",0,"sshd",9211141089073,30213,"Illegal user","E02","S138","E_2"
1107212999,"combo","magic",0,"sshd",9211141089073,30215,"Illegal user","E02","S138","E_2"
1107213001,"combo","brandon",0,"sshd",9211141089073,30217,"Illegal user","E02","S138","E_2"
1107213002,"combo","jordan",0,"sshd",9211141089073,30220,"Illegal user","E02","S138","E_2"
