#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2020-05-29 16:54:53
#  ~ Dataframe name: "syslog_messages"
#  ~ Number of events in the dataframe: 1166
#  ~ Number of unique labels ('label_event_type') in the dataframe: 11
#  ~ Selected features set for the clustering: ['Logging_Daemon', 'Operation@', 'Tty', 'System_message@', 'EUID']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.2480812289451326  MinPts=2 (The EPS parameter was calculated in 0.011529 seconds)
#  ~ The DBSCAN clustering process was performed in 0.048941 seconds
#  ~ Results summary: (24 Clus. | 28 Outl. | Homg.: 100.00% | Comp.: 85.64% | V-measure: 92.26% | AR: 97.01% | AMI: 85.07%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 8 items. MV:["DD0"]. Details:{'DD': 8}
#       Cluster [1] contains 94 items. MV:["DI1"]. Details:{'DI': 94}
#       Cluster [2] contains 702 items. MV:["DB2"]. Details:{'DB': 702}
#       Cluster [3] contains 80 items. MV:["DJ3"]. Details:{'DJ': 80}
#       Cluster [4] contains 12 items. MV:["DF4"]. Details:{'DF': 12}
#       Cluster [5] contains 13 items. MV:["DC5"]. Details:{'DC': 13}
#       Cluster [6] contains 7 items. MV:["DG6"]. Details:{'DG': 7}
#       Cluster [7] contains 8 items. MV:["DA7"]. Details:{'DA': 8}
#       Cluster [8] contains 140 items. MV:["DG8"]. Details:{'DG': 140}
#       Cluster [9] contains 2 items. MV:["DG9"]. Details:{'DG': 2}
#       Cluster [10] contains 2 items. MV:["DG10"]. Details:{'DG': 2}
#       Cluster [11] contains 2 items. MV:["DG11"]. Details:{'DG': 2}
#       Cluster [12] contains 2 items. MV:["DG12"]. Details:{'DG': 2}
#       Cluster [13] contains 2 items. MV:["DG13"]. Details:{'DG': 2}
#       Cluster [14] contains 6 items. MV:["DH14"]. Details:{'DH': 6}
#       Cluster [15] contains 5 items. MV:["DH15"]. Details:{'DH': 5}
#       Cluster [16] contains 3 items. MV:["DH16"]. Details:{'DH': 3}
#       Cluster [17] contains 2 items. MV:["DG17"]. Details:{'DG': 2}
#       Cluster [18] contains 3 items. MV:["DE18"]. Details:{'DE': 3}
#       Cluster [19] contains 30 items. MV:["DG19"]. Details:{'DG': 30}
#       Cluster [20] contains 3 items. MV:["DG20"]. Details:{'DG': 3}
#       Cluster [21] contains 6 items. MV:["DG21"]. Details:{'DG': 6}
#       Cluster [22] contains 3 items. MV:["DK22"]. Details:{'DK': 3}
#       Cluster [23] contains 3 items. MV:["DH23"]. Details:{'DH': 3}
#
#  ~ Details of outliers: {'DD': 2, 'DF': 2, 'DG': 22, 'DK': 2}
#
#  ~ Confusion matrix:
#     +--------+----------------------------------------------------------------------------+
#     | Actual +                                 Predicted                                  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+
#     |        |  DA  |  DB  |  DC  |  DD  |  DE  |  DF  |  DG  |  DH  |  DI  |  DJ  |  DK  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+
#     |   DA   |  8   |      |      |      |      |      |      |      |      |      |      |
#     |   DB   |      | 702  |      |      |      |      |      |      |      |      |      |
#     |   DC   |      |      |  13  |      |      |      |      |      |      |      |      |
#     |   DD   |      |      |      |  8   |      |      |      |      |      |      |      |
#     |   DE   |      |      |      |      |  3   |      |      |      |      |      |      |
#     |   DF   |      |      |      |      |      |  12  |      |      |      |      |      |
#     |   DG   |      |      |      |      |      |      | 198  |      |      |      |      |
#     |   DH   |      |      |      |      |      |      |      |  17  |      |      |      |
#     |   DI   |      |      |      |      |      |      |      |      |  94  |      |      |
#     |   DJ   |      |      |      |      |      |      |      |      |      |  80  |      |
#     |   DK   |      |      |      |      |      |      |      |      |      |      |  3   |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Logging_device~,EUID,Operation@,Tty,System_message@,User,Remotehost@,PID~,UID,Logging_Daemon,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107075382,"combo","-","restart.","-","-","-","-",0,"-","syslogd 1.4.1","DD","@","D_0"
1107075666,"combo","-","session opened","-","-","news","-",12387,"0","su(pam_unix)","DI","@","D_1"
1107075667,"combo","-","session closed","-","-","news","-",12387,"-","su(pam_unix)","DI","@","D_1"
1107161685,"combo","-","session opened","-","-","news","-",28720,"0","su(pam_unix)","DI","@","D_1"
1107161686,"combo","-","session closed","-","-","news","-",28720,"-","su(pam_unix)","DI","@","D_1"
1107201338,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29805,"0","sshd(pam_unix)","DB","S563","D_2"
1107201339,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29807,"0","sshd(pam_unix)","DB","S563","D_2"
1107201339,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29808,"0","sshd(pam_unix)","DB","S563","D_2"
1107201340,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29817,"0","sshd(pam_unix)","DB","S563","D_2"
1107201340,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29815,"0","sshd(pam_unix)","DB","S563","D_2"
1107201340,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29818,"0","sshd(pam_unix)","DB","S563","D_2"
1107201340,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29809,"0","sshd(pam_unix)","DB","S563","D_2"
1107201340,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29813,"0","sshd(pam_unix)","DB","S563","D_2"
1107201340,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29816,"0","sshd(pam_unix)","DB","S563","D_2"
1107201340,"combo","0","authentication failure","NODEVssh","-","root","68.70-84-72.reverse.theplanet.com",29819,"0","sshd(pam_unix)","DB","S563","D_2"
1107213136,"combo","0","authentication failure","NODEVssh","-","mail","211.141.89.73",30403,"0","sshd(pam_unix)","DB","S138","D_2"
1107213161,"combo","0","authentication failure","NODEVssh","-","mail","211.141.89.73",30421,"0","sshd(pam_unix)","DB","S138","D_2"
1107248363,"combo","-","session opened","-","-","news","-",31614,"0","su(pam_unix)","DI","@","D_1"
1107248364,"combo","-","session closed","-","-","news","-",31614,"-","su(pam_unix)","DI","@","D_1"
1107253590,"combo","-","session opened","-","-","test","-",31806,"508","sshd(pam_unix)","DJ","@","D_3"
1107253590,"combo","-","session opened","-","-","test","-",31807,"508","sshd(pam_unix)","DJ","@","D_3"
1107253590,"combo","-","session closed","-","-","test","-",31807,"-","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session opened","-","-","test","-",31808,"508","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session closed","-","-","test","-",31806,"-","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session opened","-","-","test","-",31811,"508","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session opened","-","-","test","-",31812,"508","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session opened","-","-","test","-",31813,"508","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session opened","-","-","test","-",31815,"508","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session opened","-","-","test","-",31824,"508","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session opened","-","-","test","-",31825,"508","sshd(pam_unix)","DJ","@","D_3"
1107253591,"combo","-","session closed","-","-","test","-",31808,"-","sshd(pam_unix)","DJ","@","D_3"
1107253592,"combo","-","session closed","-","-","test","-",31812,"-","sshd(pam_unix)","DJ","@","D_3"
1107253592,"combo","-","session closed","-","-","test","-",31811,"-","sshd(pam_unix)","DJ","@","D_3"
1107253592,"combo","-","session closed","-","-","test","-",31813,"-","sshd(pam_unix)","DJ","@","D_3"
1107253592,"combo","-","session closed","-","-","test","-",31815,"-","sshd(pam_unix)","DJ","@","D_3"
