#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2020-05-29 16:54:53
#  ~ Dataframe name: "http_ssl_error"
#  ~ Number of events in the dataframe: 374
#  ~ Number of unique labels ('label_event_type') in the dataframe: 4
#  ~ Selected features set for the clustering: ['Type', 'Message@']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.12346400723600937  MinPts=2 (The EPS parameter was calculated in 0.003659 seconds)
#  ~ The DBSCAN clustering process was performed in 0.004078 seconds
#  ~ Results summary: (4 Clus. | 0 Outl. | Homg.: 100.00% | Comp.: 100.00% | V-measure: 100.00% | AR: 100.00% | AMI: 100.00%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 22 items. MV:["CD0"]. Details:{'CD': 22}
#       Cluster [1] contains 183 items. MV:["CB1"]. Details:{'CB': 183}
#       Cluster [2] contains 142 items. MV:["CA2"]. Details:{'CA': 142}
#       Cluster [3] contains 27 items. MV:["CC3"]. Details:{'CC': 27}
#
#  ~ Confusion matrix:
#     +--------+---------------------------+
#     | Actual +        Predicted          |
#     +--------+------+------+------+------+
#     |        |  CA  |  CB  |  CC  |  CD  |
#     +--------+------+------+------+------+
#     |   CA   | 142  |      |      |      |
#     |   CB   |      | 183  |      |      |
#     |   CC   |      |      |  27  |      |
#     |   CD   |      |      |      |  22  |
#     +--------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Type,Message@,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107076818,"warn","RSA server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)","CD","@","C_0"
1107076818,"warn","RSA server certificate CommonName (CN) `localhost.localdomain' does NOT match server name!?","CD","@","C_0"
1107134071,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S151","C_1"
1107134071,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S151","C_1"
1107134075,"error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","CA","S151","C_2"
1107134075,"error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","CA","S151","C_2"
1107134075,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S151","C_1"
1107134080,"error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","CA","S151","C_2"
1107462292,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462292,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
1107462295,"error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","CB","S125","C_1"
