#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2020-05-29 16:54:53
#  ~ Dataframe name: "syslog_secure"
#  ~ Number of events in the dataframe: 1587
#  ~ Number of unique labels ('label_event_type') in the dataframe: 6
#  ~ Selected features set for the clustering: ['Logging_Daemon', 'Operation']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.7071067811865476  MinPts=2 (The EPS parameter was calculated in 0.006733 seconds)
#  ~ The DBSCAN clustering process was performed in 0.055101 seconds
#  ~ Results summary: (6 Clus. | 12 Outl. | Homg.: 100.00% | Comp.: 100.00% | V-measure: 100.00% | AR: 100.00% | AMI: 100.00%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 145 items. MV:["EA0"]. Details:{'EA': 145}
#       Cluster [1] contains 366 items. MV:["ED1"]. Details:{'ED': 366}
#       Cluster [2] contains 352 items. MV:["EB2"]. Details:{'EB': 352}
#       Cluster [3] contains 702 items. MV:["EC3"]. Details:{'EC': 702}
#       Cluster [4] contains 8 items. MV:["EE4"]. Details:{'EE': 8}
#       Cluster [5] contains 2 items. MV:["EF5"]. Details:{'EF': 2}
#
#  ~ Details of outliers: {'ED': 2, 'EF': 10}
#
#  ~ Confusion matrix:
#     +--------+-----------------------------------------+
#     | Actual +               Predicted                 |
#     +--------+------+------+------+------+------+------+
#     |        |  EA  |  EB  |  EC  |  ED  |  EE  |  EF  |
#     +--------+------+------+------+------+------+------+
#     |   EA   | 145  |      |      |      |      |      |
#     |   EB   |      | 352  |      |      |      |      |
#     |   EC   |      |      | 702  |      |      |      |
#     |   ED   |      |      |      | 366  |      |      |
#     |   EE   |      |      |      |      |  8   |      |
#     |   EF   |      |      |      |      |      |  2   |
#     +--------+------+------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Logging_device~,Source$,User,PID~,Operation,Logging_Daemon,Port~,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107169431,"combo",9063203221245,"test",28945,"Accepted password","sshd",37626,"EA","S431","E_0"
1107197415,"combo",9211233014063,"-",29657,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197415,"combo",9211233014063,"-",29658,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197415,"combo",9211233014063,"-",29659,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197415,"combo",9211233014063,"-",29660,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197415,"combo",9211233014063,"-",29661,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197415,"combo",9211233014063,"-",29663,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197415,"combo",9211233014063,"-",29664,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197415,"combo",9211233014063,"-",29665,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29666,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29667,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29668,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29669,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29670,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29662,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29671,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29672,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29673,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29674,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29675,"Did not receive identification string","sshd",0,"ED","S153","E_1"
1107197416,"combo",9211233014063,"-",29676,"Did not receive identification string","sshd",0,"ED","S153","E_1"
