Date~,Time~,Type,Message@,label_event_type~,label_IPpair_ID~
"2005-01-30","09:20:18","warn","RSA server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)","C04","@"
"2005-01-30","09:20:18","warn","RSA server certificate CommonName (CN) `localhost.localdomain' does NOT match server name!?","C04","@"
"2005-01-31","01:14:31","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S151"
"2005-01-31","01:14:31","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S151"
"2005-01-31","01:14:35","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","S151"
"2005-01-31","01:14:35","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","S151"
"2005-01-31","01:14:35","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S151"
"2005-01-31","01:14:40","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","S151"
"2005-02-03","20:24:52","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:52","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-03","20:24:55","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S125"
"2005-02-05","02:03:18","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","S412"
"2005-02-05","02:03:18","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","S412"
"2005-02-05","02:03:21","error","Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","C02","S412"
"2005-02-06","09:16:30","warn","RSA server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)","C04","@"
"2005-02-06","09:16:30","warn","RSA server certificate CommonName (CN) `localhost.localdomain' does NOT match server name!?","C04","@"
"2005-02-07","22:44:14","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","@"
"2005-02-07","22:44:14","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","@"
"2005-02-07","22:44:14","error","SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","C01","@"
